_id,fullName,email,password,role,remoteWorkAllowed,Activated,profileCompleted,createdAt,updatedAt,__v,refreshToken,profilePicture,businessUnit,keySkills[0],keySkills[1],keySkills[2],keySkills[3],keySkills[4],keySkills[5],keySkills[6],certifications[0],certifications[1],certifications[2],assignments[0],assignments[1],assignments[2],assignments[3],assignments[4],assignments[5],assignments[6],manager,dateOfJoining,employmentType,jobTitle,phoneNumber,seniorityLevel,yearsOfExperience
68a33f4c5f83cbbed05d02f9,Ida Lang,savanna_jerde@gmail.com,$2b$10$qcFTbdpjYjfB5Ivj.v6kT.yeljHgxI21CC.qJRKct9LIQrongx2c2,Employee,false,true,false,2025-08-18T14:57:16.023Z,2025-08-18T15:32:34.835Z,0,,,68a345f95f83cbbed05d0374,,,,,,,,,,,,,,,,,,68a33f225f83cbbed05d02f6,,,,,,
68a33f6a5f83cbbed05d02fc,Antonio Conroy,margarette.howell79@hotmail.com,$2b$10$p.wYXdk1dVzGpy9aGALm0OiWzD84FdnLSDZZUYFbaM0viODtFPKS2,Employee,false,true,false,2025-08-18T14:57:46.673Z,2025-08-18T15:32:57.221Z,0,,,68a345f95f83cbbed05d0374,,,,,,,,,,,,,,,,,,68a33f225f83cbbed05d02f6,,,,,,
68a33f8b5f83cbbed05d02ff,Elvira Schroeder-Bailey,dillan.towne@gmail.com,$2b$10$clyPXR2PRhTE2Xl/UB.Fd.ITESb6VSnbjvrNKashDUyO2eGvkGQWa,Employee,true,true,true,2025-08-18T14:58:19.142Z,2025-08-18T16:54:27.209Z,0,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6IjY4YTMzZjhiNWY4M2NiYmVkMDVkMDJmZiIsImlhdCI6MTc1NTUzNTg2MCwiZXhwIjoxNzU1Nzk1MDYwfQ.ms_mUaVCCdmeOSkIqLBbgevuzE7Rbce6aX8koPnZd0o,,68a3455a5f83cbbed05d0358,SQL,GraphQL,Spring Boot,Angular,Flask,,,Oracle Java Certification,,,,,,,,,,68a33dbc5f83cbbed05d02e1,2025-01-16T00:00:00.000Z,Full-time,Fullstack Developer,21654065971,Part-time,4
68a33fb15f83cbbed05d0302,Ebony O'Reilly,omari.kemmer97@hotmail.com,$2b$10$CFxJqmHaezvUx9fGfjxUyuw5E/ADYUhUgh0d4MFSUNuOW2CnVqXf.,Manager,false,true,false,2025-08-18T14:58:57.569Z,2025-08-18T15:33:54.508Z,0,,,68a346235f83cbbed05d037b,,,,,,,,,,,,,,,,,,,,,,,,
68a33fd35f83cbbed05d0305,Lee Lueilwitz IV,tevin.legros36@yahoo.com,$2b$10$EIZ90EgjexkETpgld0tCiOy.bgb.4YWylLZqRV87FVrRkdGnaqHhS,Manager,false,true,false,2025-08-18T14:59:31.388Z,2025-08-18T15:34:06.535Z,0,,,68a346235f83cbbed05d037b,,,,,,,,,,,,,,,,,,,,,,,,
68a340225f83cbbed05d0309,Karen Adams,marlene.cruickshank86@hotmail.com,$2b$10$5GAXdq/ZQ6BrpZOUBzKSOeNymTshauCteMsr4BZQbMVuZgA6eg2.S,Employee,true,true,true,2025-08-18T15:00:50.877Z,2025-08-18T21:20:01.114Z,1,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6IjY4YTM0MDIyNWY4M2NiYmVkMDVkMDMwOSIsImlhdCI6MTc1NTU0NjU0NCwiZXhwIjoxNzU1ODA1NzQ0fQ.t5NizMH2kM8YLYysZ4crAqJ_0Np3sxucl_pTP9C82Zg,,68a345f95f83cbbed05d0374,Node.js,Scrum,Flask,Agile,Vue.js,,,Microsoft .NET Certification,Scrum Master,,68a3990070f8e23184d86779,,,,,,,68a33d2a5f83cbbed05d02d8,2024-03-02T00:00:00.000Z,Full-time,Product Manager,21654065971,Contract,15
68a3403e5f83cbbed05d030c,Jenna Marks,herminia_jacobs@yahoo.com,$2b$10$95735zNpfWYhY1lmZkdxh.g1HRY9JtyLyRryFvias1Fi8Y5NlTEgG,Manager,false,true,false,2025-08-18T15:01:18.279Z,2025-08-18T15:34:29.548Z,0,,,68a346235f83cbbed05d037b,,,,,,,,,,,,,,,,,,,,,,,,
68a3406a5f83cbbed05d030f,Billy Raynor,francisca.volkman@hotmail.com,$2b$10$ceHgbMpCAOE1GQbS6PtqFuz7Pir07/6XfZq/CqJfZKNNRYxRVXt2u,Employee,true,true,true,2025-08-18T15:02:02.642Z,2025-08-18T20:29:03.774Z,1,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6IjY4YTM0MDZhNWY4M2NiYmVkMDVkMDMwZiIsImlhdCI6MTc1NTU0Njk4MywiZXhwIjoxNzU1ODA2MTgzfQ.6hV02jFVDl1H3-jbu3RO0swJBLgKnb5Bu8Rrhz7u2GY,,68a3455a5f83cbbed05d0358,Adobe XD,Figma,UML,,,,,NN/g UX Certification,Google UX Design Professional Certificate,Certified Usability Analyst (CUA),68a38d0f70f8e23184d8567b,,,,,,,68a33d2a5f83cbbed05d02d8,2023-01-17T00:00:00.000Z,Full-time,Frontend Developer,21654065971,Part-time,2
68a340965f83cbbed05d0312,Edna Price,kale_hilll24@yahoo.com,$2b$10$Q60TEHhGaB5CYSdkKQ7GneN5K4VhEiC5cgCUGXWGdd/KTUFxgLo3.,Employee,true,true,true,2025-08-18T15:02:46.372Z,2025-08-18T20:05:06.273Z,0,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6IjY4YTM0MDk2NWY4M2NiYmVkMDVkMDMxMiIsImlhdCI6MTc1NTU0NzM2MywiZXhwIjoxNzU1ODA2NTYzfQ.WF0dwYxoFqR-O_G8YCIGcCnkjeAGk7_yuyZKYGkY5T4,,68a3455a5f83cbbed05d0358,REST APIs,Angular,JavaScript,,,,,Google Cloud Engineer,,,,,,,,,,68a33d2a5f83cbbed05d02d8,2013-05-30T00:00:00.000Z,Full-time,Frontend Developer,21654065971,Contract,14
68a341605f83cbbed05d0315,Clark Schroeder I,cydney36@gmail.com,$2b$10$k8DiEL.LkhGUW/bfLdhDnu3xM.ia096kLK/oNNF4urggYcR0sS/Ia,Employee,true,true,true,2025-08-18T15:06:08.366Z,2025-08-20T22:38:04.179Z,7,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6IjY4YTM0MTYwNWY4M2NiYmVkMDVkMDMxNSIsImlhdCI6MTc1NTcyOTQ4NCwiZXhwIjoxNzU1OTg4Njg0fQ.KdOXGWX5NFfW8agwYSRXOr4_wFAWVxUxPBzh_BH5VmA,,68a3455a5f83cbbed05d0358,Selenium,Git,GitHub,GitLab,Jenkins,Python,JavaScript,ISTQB,Certified Agile Tester,Selenium WebDriver Certification,68a4d67dcab62c00df731320,68a63d57b8e95f920484b9ea,68a63ee5b8e95f920484ba8a,68a640e4b8e95f920484bad3,68a6483d6ebe4d0066819722,68a649ca36c08c4d78406f35,68a64aba36c08c4d78406fd5,68a33d2a5f83cbbed05d02d8,2020-01-01T00:00:00.000Z,Full-time,QA Engineer,21612334556,Part-time,0
68a341935f83cbbed05d0318,Mr. Mike Schmidt,gabrielle.fay@hotmail.com,$2b$10$yJ2XeFT.PS4bKiYl9VDO/e4gIADKUdH7UYdYd.AlY6E1PhGOLaPru,Employee,false,true,false,2025-08-18T15:06:59.961Z,2025-08-18T15:38:40.656Z,0,,,68a345f95f83cbbed05d0374,,,,,,,,,,,,,,,,,,68a33f225f83cbbed05d02f6,,,,,,
68a341cc5f83cbbed05d031b,Dr. Maggie Terry,deron54@gmail.com,$2b$10$atPNCCXPGlNSQUTpbP42W.jO/ZmMGzmNagP1QpjW4gC.hyHuPbZqq,Employee,false,false,false,2025-08-18T15:07:56.533Z,2025-08-18T15:07:56.533Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
68a341f85f83cbbed05d031e,Clayton Hayes Sr,rachelle68@gmail.com,$2b$10$Y/Cxw9QVbrXmYPQxHPYjfeHUpk3rv4ogFv47kPzy3DmMGL7mxxVcC,Employee,false,false,false,2025-08-18T15:08:40.041Z,2025-08-18T15:08:40.041Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
68a4e976cab62c00df733c9c,Lindsay Kessler IV,jovani12@hotmail.com,$2b$10$NdI06mdfNklDh5hWn0nX1uzlBiny82Vsz5JnOBy2GXQ86fUPf3UdS,BUDirector,false,true,false,2025-08-19T21:15:34.647Z,2025-08-19T21:18:35.759Z,0,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6IjY4YTRlOTc2Y2FiNjJjMDBkZjczM2M5YyIsImlhdCI6MTc1NTYzODMxNSwiZXhwIjoxNzU1ODk3NTE1fQ.tvxAu3g6BDiWc7J9ERMv_69mc2jgZH6dcjwjt6pziuI,,68a3455a5f83cbbed05d0358,,,,,,,,,,,,,,,,,,,,,,,,
68a4e9e8cab62c00df733cb3,Everett Metz,ludwig_schultz60@yahoo.com,$2b$10$ZrLSmILpgpVHa8cxhcjuquAkjiQkN1GVQVRNMnZMx1iaXYtrX2U6W,BUDirector,false,true,false,2025-08-19T21:17:28.667Z,2025-08-19T21:18:10.711Z,0,,,68a345f95f83cbbed05d0374,,,,,,,,,,,,,,,,,,,,,,,,
